Metric,Species,Tissue,Number of paired individuals,Friedman statistic,P-value
Nanodrop DNA concentration,Octopus,Skin,4,8.1,0.043989589915272645
Nanodrop DNA concentration,Turbot,Skin,5,12.12,0.006983194453265538
Nanodrop DNA concentration,Octopus,Mantle,5,13.040816326530612,0.00454916407745155
Nanodrop DNA concentration,Turbot,Gut,4,11.1,0.011197246715144023
A260/A280 ratio,Octopus,Skin,5,5.4,0.14474357941485583
A260/A280 ratio,Turbot,Skin,5,1.08,0.7819042243386312
A260/A280 ratio,Octopus,Mantle,5,8.76,0.03265800851965352
A260/A280 ratio,Turbot,Gut,5,14.04,0.0028512084304522472
A260/A230 ratio,Octopus,Skin,5,9.96,0.018909228242395753
A260/A230 ratio,Turbot,Skin,5,12.183673469387756,0.0067797401305199284
A260/A230 ratio,Octopus,Mantle,5,11.816326530612244,0.00803957776005091
A260/A230 ratio,Turbot,Gut,5,15,0.0018166489665723236
Qubit DNA concentration,Octopus,Skin,1,NA,NA
Qubit DNA concentration,Turbot,Skin,1,NA,NA
Qubit DNA concentration,Octopus,Mantle,1,NA,NA
Qubit DNA concentration,Turbot,Gut,0,NA,NA
