Metric,Species,Tissue,Comparison 1,Comparison 2,Number of paired individuals,Wilcoxon statistic,P-value,BH-adjusted P-value
Nanodrop DNA concentration,Octopus,Skin,MasterPure,PowerFecal,4,10,0.10034824646229079,0.3010447393868724
Nanodrop DNA concentration,Octopus,Skin,MasterPure,PowerSoil,5,13,0.1775298524121535,0.355059704824307
Nanodrop DNA concentration,Octopus,Skin,MasterPure,PureLink,5,15,0.059058229090536735,0.3010447393868724
Nanodrop DNA concentration,Octopus,Skin,PowerFecal,PowerSoil,4,2,0.36131042852617873,0.43357251423141446
Nanodrop DNA concentration,Octopus,Skin,PowerFecal,PureLink,4,5,1,1
Nanodrop DNA concentration,Octopus,Skin,PowerSoil,PureLink,5,12,0.2807126652684958,0.4210689979027437
Nanodrop DNA concentration,Octopus,Mantle,MasterPure,PowerFecal,5,11,0.41849223344681974,0.41849223344681974
Nanodrop DNA concentration,Octopus,Mantle,MasterPure,PowerSoil,5,15,0.059058229090536735,0.0885873436358051
Nanodrop DNA concentration,Octopus,Mantle,MasterPure,PureLink,5,15,0.059058229090536735,0.0885873436358051
Nanodrop DNA concentration,Octopus,Mantle,PowerFecal,PowerSoil,5,10,0.10034824646229079,0.12041789575474894
Nanodrop DNA concentration,Octopus,Mantle,PowerFecal,PureLink,5,15,0.059058229090536735,0.0885873436358051
Nanodrop DNA concentration,Octopus,Mantle,PowerSoil,PureLink,5,15,0.059058229090536735,0.0885873436358051
Nanodrop DNA concentration,Turbot,Skin,MasterPure,PowerFecal,5,9,0.7874064906662693,0.7874064906662693
Nanodrop DNA concentration,Turbot,Skin,MasterPure,PowerSoil,5,15,0.059058229090536735,0.0885873436358051
Nanodrop DNA concentration,Turbot,Skin,MasterPure,PureLink,5,15,0.059058229090536735,0.0885873436358051
Nanodrop DNA concentration,Turbot,Skin,PowerFecal,PowerSoil,5,15,0.059058229090536735,0.0885873436358051
Nanodrop DNA concentration,Turbot,Skin,PowerFecal,PureLink,5,15,0.059058229090536735,0.0885873436358051
Nanodrop DNA concentration,Turbot,Skin,PowerSoil,PureLink,5,6,0.7874064906662693,0.7874064906662693
Nanodrop DNA concentration,Turbot,Gut,MasterPure,PowerFecal,4,10,0.10034824646229079,0.10564542920187692
Nanodrop DNA concentration,Turbot,Gut,MasterPure,PowerSoil,5,15,0.059058229090536735,0.10564542920187692
