Kit,Species,Tissue,Sequencing,Number of samples
MasterPure,Octopus,Skin,Y,5
PowerFecal,Octopus,Skin,N,4
PowerFecal,Octopus,Skin,Y,1
PowerSoil,Octopus,Skin,N,2
PowerSoil,Octopus,Skin,Y,3
PureLink,Octopus,Skin,N,5
MasterPure,Octopus,Mantle,Y,5
PowerFecal,Octopus,Mantle,Y,5
PowerSoil,Octopus,Mantle,Y,5
PureLink,Octopus,Mantle,N,5
MasterPure,Turbot,Skin,Y,5
PowerFecal,Turbot,Skin,N,1
PowerFecal,Turbot,Skin,Y,4
PowerSoil,Turbot,Skin,N,4
PowerSoil,Turbot,Skin,Y,1
PureLink,Turbot,Skin,N,5
MasterPure,Turbot,Gut,Y,5
PowerFecal,Turbot,Gut,N,5
PowerSoil,Turbot,Gut,Y,5
PureLink,Turbot,Gut,N,5
