Kit,Species,Tissue,Individual,n_swabbings,nanodrop_mean_ind,nanodrop_sd_ind,ratio_260_280_mean_ind,ratio_260_230_mean_ind,qubit_n_measured,qubit_n_out_of_range,qubit_n_missing,qubit_mean_ind
MasterPure,Octopus,Skin,1,1,30.6,NA,1.65,0.56,0,0,1,NA
MasterPure,Octopus,Skin,2,1,31.999,NA,1.693,0.77,0,0,1,NA
MasterPure,Octopus,Skin,3,1,15.713,NA,1.785,0.644,1,0,0,1.74
MasterPure,Octopus,Skin,4,1,15.39,NA,1.847,0.689,0,0,1,NA
MasterPure,Octopus,Skin,5,1,29.214,NA,1.83,0.93,1,0,0,30.2
MasterPure,Octopus,Mantle,1,1,170.1,NA,1.83,1.4,1,0,0,43.9
MasterPure,Octopus,Mantle,2,1,169.98,NA,1.87,1.62,0,0,1,NA
MasterPure,Octopus,Mantle,3,1,152.6,NA,1.89,1.52,0,0,1,NA
MasterPure,Octopus,Mantle,4,1,71.49,NA,1.81,1.16,1,0,0,29.8
MasterPure,Octopus,Mantle,5,1,431.1,NA,1.67,1,1,0,0,10
MasterPure,Turbot,Skin,1,1,31.9,NA,1.81,0.72,0,0,1,NA
MasterPure,Turbot,Skin,2,1,16.72,NA,1.68,0.58,0,0,1,NA
MasterPure,Turbot,Skin,3,1,23.02,NA,1.72,0.844,1,0,0,3.67
MasterPure,Turbot,Skin,4,1,18.89,NA,1.61,0.664,0,0,1,NA
MasterPure,Turbot,Skin,5,1,20.156,NA,1.54,0.625,1,0,0,4.32
MasterPure,Turbot,Gut,1,1,186.1,NA,2.02,1.71,0,0,1,NA
MasterPure,Turbot,Gut,2,1,255.33,NA,1.937,1.619,1,0,0,33.6
MasterPure,Turbot,Gut,3,1,188.636,NA,1.99,1.61,0,0,1,NA
MasterPure,Turbot,Gut,4,1,58.45,NA,1.91,1.36,1,0,0,24.4
MasterPure,Turbot,Gut,5,1,301.281,NA,2.002,1.767,0,0,1,NA
PowerFecal,Octopus,Skin,1,1,0.51,NA,1.982,0.19,0,1,0,NA
PowerFecal,Octopus,Skin,2,1,-3.538,NA,2.938,-0.06,0,1,0,NA
PowerFecal,Octopus,Skin,3,1,10.391,NA,1.54,0.299,0,1,0,NA
PowerFecal,Octopus,Skin,4,1,3.094,NA,1.3,0.045,0,1,0,NA
PowerFecal,Octopus,Skin,5,1,3.3,NA,1.23,0.01,1,0,0,0.429
PowerFecal,Octopus,Mantle,1,1,140.4,NA,1.79,0.23,1,0,0,42.7
PowerFecal,Octopus,Mantle,2,1,199,NA,1.68,0.25,0,0,1,NA
PowerFecal,Octopus,Mantle,3,1,28.4,NA,1.71,0.06,0,0,1,NA
PowerFecal,Octopus,Mantle,4,1,168.6,NA,1.54,0.41,1,0,0,4.81
PowerFecal,Octopus,Mantle,5,1,55.7,NA,1.58,0.23,0,0,1,NA
PowerFecal,Turbot,Skin,1,1,18.7,NA,1.59,0.1,0,0,1,NA
PowerFecal,Turbot,Skin,2,1,11.2,NA,1.62,0.3,0,0,1,NA
PowerFecal,Turbot,Skin,3,1,46.6,NA,1.55,0.27,0,1,0,NA
PowerFecal,Turbot,Skin,4,1,19.28,NA,1.56,0.52,0,0,1,NA
PowerFecal,Turbot,Skin,5,1,9.29,NA,1.58,0.2,1,0,0,0.18
PowerFecal,Turbot,Gut,1,1,1.79,NA,1.08,0.18,0,0,1,NA
PowerFecal,Turbot,Gut,2,1,1.76,NA,1.25,0.05,0,1,0,NA
PowerFecal,Turbot,Gut,3,1,-0.5,NA,0.35,0,0,0,1,NA
PowerFecal,Turbot,Gut,4,1,0.97,NA,0.72,0.02,0,1,0,NA
