Kit,Species,Tissue,n_individuals,nanodrop_mean,nanodrop_sd,nanodrop_median,ratio_260_280_mean,ratio_260_230_mean,qubit_mean,qubit_sd
MasterPure,Octopus,Skin,5,24.583199999999998,8.304150390015826,29.214,1.761,0.7186,15.969999999999999,20.124258992569143
PowerFecal,Octopus,Skin,5,2.7514,5.0833613682287035,3.094,1.798,0.0968,0.429,NA
PowerSoil,Octopus,Skin,5,11.92,11.274174027395532,10.4,2.126,0.162,0.068,NA
PureLink,Octopus,Skin,5,3.94,2.4673872821265816,5.6,1.1099999999999999,0.294,0.5786666666666667,0.319726966853491
MasterPure,Octopus,Mantle,5,199.054,135.97750358055558,169.98,1.814,1.34,27.9,17.02967997350508
PowerFecal,Octopus,Mantle,5,118.42,73.36839919202272,140.4,1.66,0.236,23.755000000000003,26.792275939158287
PowerSoil,Octopus,Mantle,5,43.6,43.643842635588356,27.1,1.696,0.316,24.675,29.309576080182396
PureLink,Octopus,Mantle,5,4.82,3.0103155980727334,5.6,1.318,0.532,0.78,NA
MasterPure,Turbot,Skin,5,22.1372,5.914116941691295,20.156,1.672,0.6866,3.995,0.45961940777125615
PowerFecal,Turbot,Skin,5,21.014,14.973071829120437,18.7,1.58,0.278,0.18,NA
PowerSoil,Turbot,Skin,5,2.56,1.9932385707686875,2.1,3.8800000000000003,0.004,0.115,NA
PureLink,Turbot,Skin,5,3.96,3.215276037916496,6.1,1.312,0.27,0.395,0.09192388155425119
MasterPure,Turbot,Gut,5,197.95940000000002,91.7294699308788,188.636,1.9718,1.6132,29,6.5053823869162395
PowerFecal,Turbot,Gut,5,0.82,1.0169808257779496,0.97,0.264,0.052,NA,NA
PowerSoil,Turbot,Gut,5,32.42,20.81218393153395,36.1,1.548,0.336,0.051,NA
PureLink,Turbot,Gut,5,7.84,1.3501851724856115,8.2,1.748,0.528,0.205,0.11879393923933998
